# Vorgangs-Register — Durchlaufzeit und Wartezeit
#
# Erzeugt aus logbuch/fristen.md von scripts/vorgaenge-bilanz.sh.
# Spalten: id <TAB> titel <TAB> projekt <TAB> frist <TAB> status <TAB> ball_bei <TAB> letzte_bewegung <TAB> eroeffnet <TAB> geschlossen
#
# ball_bei wird nur gesetzt, wenn ein Marker im Text belegt ist
# (AKTION JANS / AKTION Raphael / Ball bei X). Sonst 'unbekannt' — nie geraten.
# eroeffnet wird von Hand bzw. vom Radar gepflegt und bei Neulaeufen NICHT
# ueberschrieben. Ohne dieses Feld gibt es keine Durchlaufzeit.
#
# Stand: 11.09.2026
2619-kispi-lose-231-10-und-274-01-hoch	2619 KISPI, Lose 231.10 und 274.01   hoch			erledigt	unbekannt	2026-08-31		0000-00-00
2620-albertstrasse-7-baubeschrieb-freigegebe	2620 Albertstrasse 7 — Baubeschrieb FREIGEGEBEN, jetzt hängt der KV am Entscheid vom 13	2620 Albertstrasse 7 / Nova Property	2026-08-13	offen	JANS	2026-08-13		
2620-albertstrasse-7-baubeschrieb-zum-kv-ers	2620 Albertstrasse 7 — Baubeschrieb zum KV erstellt (Freigabe inzwischen erteilt, siehe 	2620 Albertstrasse 7 / Nova Property	entfaellt	offen	unbekannt	2026-08-13		
2620-albertstrasse-7-baubeschrieb-zum-kv-von	2620 Albertstrasse 7 — Baubeschrieb zum KV von der Bauherrschaft freigegeben			erledigt	unbekannt	2026-08-13		2026-07-30
31-13	31 / 13			erledigt	unbekannt	2026-08-29		2026-08-29
4-agenten-blaupause-priorisieren-entscheid-r	4-Agenten-Blaupause priorisieren — Entscheid Raphael	Hub / Methoden	offen	offen	unbekannt	2026-07-29		
42-19	42 / 19			erledigt	unbekannt	2026-08-29		2026-08-29
68-34	68 / 34			erledigt	unbekannt	2026-08-30		2026-08-00
adobe-acrobat-premium-jahresabo-chf-71-00-pr	Adobe Acrobat Premium — Jahresabo CHF 71.00, Probeabo endet am 22.08.2026			erledigt	Raphael	2026-08-22		2026-08-22
ag-firmenname-jans-ag-aufgegeben-zugunsten-r	AG: Firmenname «JANS AG» aufgegeben zugunsten «Raphael Jans AG»; die			erledigt	unbekannt	2026-06-27		2026-06-27
ag-gr-ndung-das-ubs-kapitaleinzahlungskonto-	AG-Gründung: das UBS-Kapitaleinzahlungskonto ist eröffnet — nach Wochen liegt der Ball	AG-Gründung Raphael Jans AG	offen	unklar	Raphael	2026-08-17		
ag-gr-ndung-der-engpass-hat-gewechselt-jetzt	AG-Gründung — der Engpass hat gewechselt: jetzt ist das Notariat der kritische Pfad	AG Raphael Jans AG	offen	unklar	Raphael	2026-08-10	2026-08-03	
ag-gr-ndung-die-ubs-blockade-ist-nach-32-tag	AG-Gründung — die UBS-Blockade ist nach 32 Tagen aufgelöst			erledigt	unbekannt	2026-07-30		2026-07-30
ag-gr-ndung-jetzt-l-uft-die-ubs-kette-iban-e	AG-Gründung — jetzt läuft die UBS-Kette: IBAN erwartet bis ca. 03./04.08	AG Raphael Jans AG	offen	unklar	Raphael	2026-08-17	2026-08-05	
ag-gruendung-firmenname-entschieden-raphael-	AG Gruendung — FIRMENNAME ENTSCHIEDEN: «Raphael Jans AG» (statt «JANS	AG Raphael Jans AG	2026-06-27	offen	Raphael	2026-06-27		
ag-gruendung-nach-hr-eintrag-ubs-informieren	AG Gruendung — nach HR-Eintrag: UBS informieren	AG Raphael Jans AG	offen	beobachten	unbekannt			
ag-gruendung-ubs-raphael-hat-b-jeckelmann-ub	AG Gruendung — UBS: Raphael hat B. Jeckelmann (UBS) am 27.06. 12:18 (Postfach	AG Raphael Jans AG	2026-06-27	erledigt 30.07.	Raphael	2026-07-31	2026-06-27	
